departure_time,trip_id,route_id,service_id,trip_headsign,route_long_name
11:47,128205_16493_20251002,27_27081_1_20251002,5,西部車庫,E2-1/S3-0：楠団地→二里木～蓮台寺→西部車庫
11:47,128203_11726_20251002,27_27081_1_20251002,3,西部車庫,E2-1/S3-0：楠団地→二里木～蓮台寺→西部車庫
11:47,128204_14104_20251002,27_27081_1_20251002,4,西部車庫,E2-1/S3-0：楠団地→二里木～蓮台寺→西部車庫
11:49,127106_3122_20251002,27_27081_1_20251002,6,西部車庫,E2-1/S3-0：楠団地→二里木～蓮台寺→西部車庫
11:50,128203_11441_20251002,16_16111_1_20251002,3,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
11:50,128202_9051_20251002,16_16111_1_20251002,2,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
11:50,128205_16208_20251002,16_16111_1_20251002,5,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
11:50,128204_13819_20251002,16_16111_1_20251002,4,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
11:50,128201_6662_20251002,16_16111_1_20251002,1,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
11:51,1_111000749_20251001,4010_4622_2_20251001,0,桜町バスターミナル,F3-1：水前寺鳥居→北水前寺→子飼→桜町バスターミナル
11:51,128207_4734_20251002,16_16111_1_20251002,7,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
11:52,128206_2891_20251002,16_16111_1_20251002,6,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
11:52,1_111000048_20251001,4001_1001_1_20251001,0,熊本駅前,O2-0：熊本駅→本荘町→上熊本駅→新町→熊本駅
11:53,128207_4628_20251002,13_13211_1_20251002,7,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
11:54,128206_2844_20251002,13_13251_1_20251002,6,桜町バスターミナル,E3-2：光の森産交→ゆめタウン～子飼→桜町バスターミナル
11:58,128204_13742_20251002,13_13251_1_20251002,4,桜町バスターミナル,E3-2：光の森産交→ゆめタウン～子飼→桜町バスターミナル
11:58,128205_16131_20251002,13_13251_1_20251002,5,桜町バスターミナル,E3-2：光の森産交→ゆめタウン～子飼→桜町バスターミナル
11:58,128202_8974_20251002,13_13251_1_20251002,2,桜町バスターミナル,E3-2：光の森産交→ゆめタウン～子飼→桜町バスターミナル
11:58,128201_6585_20251002,13_13251_1_20251002,1,桜町バスターミナル,E3-2：光の森産交→ゆめタウン～子飼→桜町バスターミナル
11:58,128203_11364_20251002,13_13251_1_20251002,3,桜町バスターミナル,E3-2：光の森産交→ゆめタウン～子飼→桜町バスターミナル
12:06,128506_2660_20251002,7_7031_1_20251002,6,五丁,F2-1/S4-2：小山団地→子飼～野口→五丁
12:06,128202_8906_20251002,13_13211_1_20251002,2,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
12:06,128204_13674_20251002,13_13211_1_20251002,4,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
12:06,128203_11296_20251002,13_13211_1_20251002,3,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
12:06,128201_6517_20251002,13_13211_1_20251002,1,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
12:06,128205_16063_20251002,13_13211_1_20251002,5,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
12:07,128206_2778_20251002,13_13211_1_20251002,6,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
12:09,128503_11169_20251002,7_7031_1_20251002,3,五丁,F2-1/S4-2：小山団地→子飼～野口→五丁
12:09,128502_8779_20251002,7_7031_1_20251002,2,五丁,F2-1/S4-2：小山団地→子飼～野口→五丁
12:09,128501_6390_20251002,7_7031_1_20251002,1,五丁,F2-1/S4-2：小山団地→子飼～野口→五丁
12:09,128505_15936_20251002,7_7031_1_20251002,5,五丁,F2-1/S4-2：小山団地→子飼～野口→五丁
12:09,128504_13547_20251002,7_7031_1_20251002,4,五丁,F2-1/S4-2：小山団地→子飼～野口→五丁
12:11,7_311000073_20251001,4001_1041_1_20251001,7,熊本駅前,O2-0：熊本駅→本荘町→上熊本駅→新町→熊本駅
12:15,128207_4653_20251002,13_13231_1_20251002,7,熊本駅前,E3-3：光の森産交→武蔵ヶ丘～子飼→熊本駅前
12:17,128205_16098_20251002,13_13231_1_20251002,5,熊本駅前,E3-3：光の森産交→武蔵ヶ丘～子飼→熊本駅前
12:17,128203_11331_20251002,13_13231_1_20251002,3,熊本駅前,E3-3：光の森産交→武蔵ヶ丘～子飼→熊本駅前
12:17,128202_8941_20251002,13_13231_1_20251002,2,熊本駅前,E3-3：光の森産交→武蔵ヶ丘～子飼→熊本駅前
12:17,128204_13709_20251002,13_13231_1_20251002,4,熊本駅前,E3-3：光の森産交→武蔵ヶ丘～子飼→熊本駅前
12:17,128201_6552_20251002,13_13231_1_20251002,1,熊本駅前,E3-3：光の森産交→武蔵ヶ丘～子飼→熊本駅前
12:17,128206_2810_20251002,13_13231_1_20251002,6,熊本駅前,E3-3：光の森産交→武蔵ヶ丘～子飼→熊本駅前
12:20,128205_16209_20251002,16_16111_1_20251002,5,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
12:20,128202_9052_20251002,16_16111_1_20251002,2,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
12:20,128204_13820_20251002,16_16111_1_20251002,4,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
12:20,128201_6663_20251002,16_16111_1_20251002,1,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
12:20,128203_11442_20251002,16_16111_1_20251002,3,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
12:21,128206_2863_20251002,16_16021_1_20251002,6,桜町バスターミナル,F1-1：東熊本第二病院前→供合～子飼→桜町バスターミナル
12:21,128207_4735_20251002,16_16111_1_20251002,7,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
12:22,1_111000094_20251001,4001_1041_1_20251001,0,熊本駅前,O2-0：熊本駅→本荘町→上熊本駅→新町→熊本駅
12:25,128207_4687_20251002,13_13251_1_20251002,7,桜町バスターミナル,E3-2：光の森産交→ゆめタウン～子飼→桜町バスターミナル
12:36,128201_6518_20251002,13_13211_1_20251002,1,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
12:36,2_112000942_20251001,4008_3732_2_20251001,0,上熊本駅前,F4-2：東本町→熊本市民病院→京塚→渡瀬→子飼→上熊本駅
12:36,128204_13675_20251002,13_13211_1_20251002,4,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
12:36,128205_16064_20251002,13_13211_1_20251002,5,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
12:36,7_311000036_20251001,4001_1001_1_20251001,7,熊本駅前,O2-0：熊本駅→本荘町→上熊本駅→新町→熊本駅
12:36,128202_8907_20251002,13_13211_1_20251002,2,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
12:36,128203_11297_20251002,13_13211_1_20251002,3,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
12:37,128206_2779_20251002,13_13211_1_20251002,6,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
12:40,127107_4944_20251002,27_27081_1_20251002,7,西部車庫,E2-1/S3-0：楠団地→二里木～蓮台寺→西部車庫
12:41,127106_2661_20251002,7_7031_1_20251002,6,五丁,F2-1/S4-2：小山団地→子飼～野口→五丁
12:42,127107_4546_20251002,7_7031_1_20251002,7,五丁,F2-1/S4-2：小山団地→子飼～野口→五丁
12:44,127102_8758_20251002,7_7021_1_20251002,2,川口二丁,F2-1/S4-3：小山団地→子飼～野口→川口
12:44,127101_6369_20251002,7_7021_1_20251002,1,川口二丁,F2-1/S4-3：小山団地→子飼～野口→川口
12:44,127105_15915_20251002,7_7021_1_20251002,5,川口二丁,F2-1/S4-3：小山団地→子飼～野口→川口
12:44,127103_11148_20251002,7_7021_1_20251002,3,川口二丁,F2-1/S4-3：小山団地→子飼～野口→川口
12:44,127104_13526_20251002,7_7021_1_20251002,4,川口二丁,F2-1/S4-3：小山団地→子飼～野口→川口
12:47,128204_14105_20251002,27_27081_1_20251002,4,西部車庫,E2-1/S3-0：楠団地→二里木～蓮台寺→西部車庫
12:47,128201_6948_20251002,27_27081_1_20251002,1,西部車庫,E2-1/S3-0：楠団地→二里木～蓮台寺→西部車庫
12:47,128205_16494_20251002,27_27081_1_20251002,5,西部車庫,E2-1/S3-0：楠団地→二里木～蓮台寺→西部車庫
12:47,128202_9337_20251002,27_27081_1_20251002,2,西部車庫,E2-1/S3-0：楠団地→二里木～蓮台寺→西部車庫
12:47,128203_11727_20251002,27_27081_1_20251002,3,西部車庫,E2-1/S3-0：楠団地→二里木～蓮台寺→西部車庫
12:49,128206_3123_20251002,27_27081_1_20251002,6,西部車庫,E2-1/S3-0：楠団地→二里木～蓮台寺→西部車庫
12:50,128204_13821_20251002,16_16111_1_20251002,4,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
12:50,128201_6664_20251002,16_16111_1_20251002,1,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
12:50,128203_11443_20251002,16_16111_1_20251002,3,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
12:50,128202_9053_20251002,16_16111_1_20251002,2,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
12:50,128205_16210_20251002,16_16111_1_20251002,5,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
12:51,128207_4736_20251002,16_16111_1_20251002,7,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
12:52,128206_2892_20251002,16_16111_1_20251002,6,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
12:52,1_111000096_20251001,4001_1041_1_20251001,0,熊本駅前,O2-0：熊本駅→本荘町→上熊本駅→新町→熊本駅
12:53,128207_4629_20251002,13_13211_1_20251002,7,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
12:54,128206_2845_20251002,13_13251_1_20251002,6,桜町バスターミナル,E3-2：光の森産交→ゆめタウン～子飼→桜町バスターミナル
12:58,128202_8988_20251002,13_13261_1_20251002,2,熊本駅前,E3-2：光の森産交→ゆめタウン～子飼→熊本駅前
12:58,128201_6599_20251002,13_13261_1_20251002,1,熊本駅前,E3-2：光の森産交→ゆめタウン～子飼→熊本駅前
12:58,128205_16145_20251002,13_13261_1_20251002,5,熊本駅前,E3-2：光の森産交→ゆめタウン～子飼→熊本駅前
12:58,128204_13756_20251002,13_13261_1_20251002,4,熊本駅前,E3-2：光の森産交→ゆめタウン～子飼→熊本駅前
